uid,type,points_finish,points_bronze,points_silver,points_gold,points_at
qTIHD3KRxyoaNCIC3DlVJh5JWZm,Royal,5,6,7,8,10
7Ht5qc3LjP23KXznkrwTV36K3Uf,Royal,5,6,7,8,10
_JMBDcLI4_zk3CHt_Jvy6CmAuHc,Royal,5,6,7,8,10
31G3lM70WgP71XuVMkzKJIk4wlb,Royal,5,6,7,8,10
0Eh2PZyAN_37__WKgY9I0SRtGk3,Royal,5,6,7,8,10
6sqDaekkap_LmHqmdS9K0DfnuFj,Royal,5,6,7,8,10
mpxrV0KAJPlGEkS8EgYaUcRAE4k,Royal,5,6,7,8,10
Un4VSH2SpaZQpguzRNnaQ9MKEjk,Royal,5,6,7,8,10
m4Ifq_nRvsbEjShxL67N2u37nq4,Royal,5,6,7,8,10
Ni78qz8CibuT3pYqBiERJOUZPna,Royal,5,6,7,8,10
czYgdnadaelppa3G3Sg4K0X5PHb,Royal,5,6,7,8,10
p6chWMZiZZETFbkLw5CNMcELT0a,Royal,5,6,7,8,10
hUWhaZn_aVEMrpnbA9k0bYfp133,Royal,5,6,7,8,10
9KsF5mcHsHu6LRW5IkJpYQ8VEPi,Royal,5,6,7,8,10
kASMpi417FXJgTidZMVlEx6qoLc,Royal,5,6,7,8,10
z9lds6DJNEXinWaHm8pUT1DURIi,Royal,5,6,7,8,10
nO94ja40nNR1KxarildTCk7zFWg,Royal,5,6,7,8,10
i96u7k6IEVXjwPMKDldfENajQ74,Royal,5,6,7,8,10
7z00UtjsOmyEh_Bp9r33pQkw9cj,Royal,5,6,7,8,10
S9MoCLtmp4TwSFiSUuVSDLJyP6,Royal,5,6,7,8,10
cPh2FhhKAo0WsqpZXzAVq7uUzvg,Royal,5,6,7,8,10
Ckm5up3tC8_UaFa6456RORgqUal,Royal,5,6,7,8,10
GmNV9Xgrne4fsT34GKejIKEfN6c,Royal,5,6,7,8,10
mHSK4WWw70kG5tbvTuLYkOCUwli,Royal,5,6,7,8,10
P3J2gyl_4Ixbe5BVPgMQHRVR2I,Royal,5,6,7,8,10
XGDiK9l16Ikkq5Qmjuq5jSctd69,Royal,5,6,7,8,10
ng8s1FAgejtfR4UxlBeW2GL_xs9,Royal,5,6,7,8,10
e4m5exqXCVLYO0O8lHuFc0rHQX6,Royal,5,6,7,8,10
TpHHcqxSJ00fUmNXlrYgBqOL3yh,Royal,5,6,7,8,10
6DwJbbJ88OsdJ9JK8zhhGVZaHzd,Royal,5,6,7,8,10
F401ZYpk3GaWe7dqcnUzqp_bn1j,Royal,5,6,7,8,10
7nYsWGVgNUYp1ZqvHpFFXWCSWC8,Royal,5,6,7,8,10
t_to8jHK_QrvKACLXY9q7jcaKz4,Royal,5,6,7,8,10
y6sTEYwrWb0Ps_y2Inuo0oRbnv8,Royal,5,6,7,8,10
3aadurE7b4nDzCEFv75q8vz6sy7,Royal,5,6,7,8,10
a1TuHvaZnHGcLoaVBLR8qqFt6um,Royal,5,6,7,8,10
Q_z1bOIeHJ5RUzYjNjvMDEd3Pz5,Royal,5,6,7,8,10
3qqVt90P5KIbUH3nLRcSxZQuv4c,Royal,5,6,7,8,10
JxZlthMUY2Eq841KmrQg9wKXAZh,Royal,5,6,7,8,10
dr0BlwdUNPNKLtcWM3m_Ov8yrfg,Royal,5,6,7,8,10
p5qdy_2MeAZ_hZN4REzf5faew2c,Royal,5,6,7,8,10
fTdS1azqMuz0tmUY8FFSMKFd_H4,Royal,5,6,7,8,10
BsuuC0v7zf_uB6zNH1GEzHqkzY2,Royal,5,6,7,8,10
Yn2qqjDPJ97NY59LtQOh8P0eLW4,Royal,5,6,7,8,10
JFfagtC6TOWJogfpKGXBT6vsG3h,Royal,5,6,7,8,10
g0HAaWdqOr4_VHxGu7VBZXxf4c5,Royal,5,6,7,8,10
u3ldjCKF9yGkmtQRLfMel54Nsc7,Royal,5,6,7,8,10
4vZCefnScTQrEqTabxXhLGs0AM,Royal,5,6,7,8,10
eE8fmC2OfiBhQG6QtpPDdzqGJr9,Royal,5,6,7,8,10
0is0zkdYKy_8HYix21lRPkqKn8j,Royal,5,6,7,8,10
TmfTnwYY_jmYJciBPwFtLdoiBq8,Royal,5,6,7,8,10
Bd3epxq_VbyjGJvWvMkTaLFzRWg,Royal,5,6,7,8,10
70ekp8nmVNpeqcmoQOtgxeZMgd2,Royal,5,6,7,8,10
hmQAKGOUhx5oWTsPt4UdyZo1TI4,Royal,5,6,7,8,10
j6HE5RX_Hj1VmWDLFYUgyt8Kkp5,Royal,5,6,7,8,10
fv5E08m2EB5sfgpH5Wod0QV5089,Royal,5,6,7,8,10
wJMPhvyoiebfzzOm2tUg0nZnhX2,Royal,5,6,7,8,10
12VI5xYIKK_kifwfVHz6cfRGXof,Royal,5,6,7,8,10
MGX9s81LEycEAWooW3xhf0QDbIf,Royal,5,6,7,8,10
M6tNqU_5LCMgnNggVLAeeMCVAQ7,Royal,5,6,7,8,10
G9AvknoZotP_YHlAYcNqB_w0zd6,Royal,5,6,7,8,10
GYUJgA4IXZTWH1a5HMXLzXIfFSk,Royal,5,6,7,8,10
SADPHHV6V7qEzIJIfXAItFf5bvi,Royal,5,6,7,8,10
m8aqo6geEzDie_DgEvh6mtCohXg,Royal,5,6,7,8,10
DTXzuYxM0mtSiQjN7qLctRXHgY7,Royal,5,6,7,8,10
YdIyjowRrCC95CL5fD9LKy0ACXl,Royal,5,6,7,8,10
g3FgKJnZdLrPXOfctL06Zyb_Gbi,Royal,5,6,7,8,10
A8E1Xrt6i9MXevILu3yIV94jMB6,Royal,5,6,7,8,10
Em8iBGmCBHWRYTbry4aQ4sveME1,Royal,5,6,7,8,10
yHxS_pJVYupowzIihJO445Wct_8,Royal,5,6,7,8,10
3jB_opvdReaB21lZQpD47zWRe2f,Royal,5,6,7,8,10
F_z5PvhMoEDI8awHplKoL24KOnd,Royal,5,6,7,8,10
a95NbdhQyZKFNpUHT05MwvT1xVf,Royal,5,6,7,8,10
Wi0aosTMNf4g3AcU2T0USTc5O9i,Royal,5,6,7,8,10
V53vepixi3yXChZTFL2Buqnes53,Royal,5,6,7,8,10
qIhuRW3irDWbNDmUmBC7wOlxZx0,Royal,5,6,7,8,10
AtobjSYTGO3SSKMrYd_UkDjf_65,Royal,5,6,7,8,10
wJd_QCijMxUXepv_CgSu5L0qX4i,Royal,5,6,7,8,10
JvVpLNtFK1pj_k7eEQdH7XvWt6a,Royal,5,6,7,8,10
GwevgGjiFAOfG_tTsBY4SkKJuId,Royal,5,6,7,8,10
3mCxB7cCZsJBk3Y7BtnyyXh3R43,Royal,5,6,7,8,10
tAapPBQ6Ge2JzElyAuQfoHWpzT7,Royal,5,6,7,8,10
PA1nspOy_zlcvrcdw57KWaVHLYj,Royal,5,6,7,8,10
Ngl8sAr0N6UeRK2NmVCoYZQ0cxb,Royal,5,6,7,8,10
OISbHcty1gfI5l2Gx_6V072HwCe,Royal,5,6,7,8,10
NJtsR0EbHtcALNHqYbpCGR6e9E7,Royal,5,6,7,8,10
cg5vuKCHRlQIPOpWhMDSr4rreH1,Royal,5,6,7,8,10
fb4FYr0cGRqOZhHpvNIv0aN2Wv8,Royal,5,6,7,8,10
FcENPd5CVR7UCBWvWMq4n4q8fB1,Royal,5,6,7,8,10
v0Hq0eE_sk7PxfNpuDUrUXCqW4g,Royal,5,6,7,8,10
HCfIqJGpeGrjjHot_fKcGf370h5,Royal,5,6,7,8,10
Rm984lNES0xvJumgyHqLx6BKP35,Royal,5,6,7,8,10
IX3OQqr4z3lkDXh0ZEmiarmJwtb,Royal,5,6,7,8,10
bqnyZ5ortgAjK88LzS4ibCj_bq7,Royal,5,6,7,8,10
prBm461zk_6LuniwLjFeN90ng7g,Royal,5,6,7,8,10
hrfxIUWdIjMzcKBs7ZjoAGY8eG4,Royal,5,6,7,8,10
PHj36_4vh9JkMmtcjygQUUgrogi,Royal,5,6,7,8,10
GEnSKcxU7pyjeoIyOx2cnoyo1tk,Royal,5,6,7,8,10
Gv9rXxlPfAD5ySHoWmrIcg_MlE4,Royal,5,6,7,8,10
M_V_Cnh7qDvEbxL_U1JCKVjBH8i,Royal,5,6,7,8,10
I3tBEdeJ0JMDiTrVmX5sDkbHoai,Royal,5,6,7,8,10
VnCZRYR89oknz9fhMcMKtreCTT6,Royal,5,6,7,8,10
sw240PVEwuVWeXKcwJBwUVmksr1,Royal,5,6,7,8,10
CjMdBHRYbKU9gIkpBkxrYqMhz6l,Royal,5,6,7,8,10
FFOsCvWMS1ZPXc6XMHi3FwpWYJk,Royal,5,6,7,8,10
qm4sP_JACQNvWCg9gWpQyOuIh8h,Royal,5,6,7,8,10
lfZ_Z_uRWDDdurq7RiKqAVuNTNl,Royal,5,6,7,8,10
Uxwcaqi6jnFSa39S273_LOw9sA1,Royal,5,6,7,8,10
vmWMXml2nkGB0GkJNLk5IIKuXEi,Royal,5,6,7,8,10
rdAQJ3PDoEN1R9SYuz0XpYhFji9,Royal,5,6,7,8,10
fZ56UgPUXs3j7p0Q33c1UcXCPKl,Royal,5,6,7,8,10
G75cFBYorT7Cnmx7jGwPcEfXZ18,Royal,5,6,7,8,10
ipXvQyGmEgHhritORZrpMCGMHIm,Royal,5,6,7,8,10
q5KFL0NLJBEY29cJTVgv8U1v3y6,Royal,5,6,7,8,10
LLHBebaxsP67VXGsH4TpJ6o7Nhj,Royal,5,6,7,8,10
s94H1fQauW49KM0jLjlWNdKgfj7,Royal,5,6,7,8,10
BLL8G1mOFHjiPIXnRzndS8UpaL6,Royal,5,6,7,8,10
r98ONthXQcBDwU9YBNOaO_RqpEl,Royal,5,6,7,8,10
K52YhLzVzwR2xRnbBDBhKeWz5Y8,Royal,5,6,7,8,10
IwWCFDmRB2dsWxPqqlQ7bM_5dE0,Royal,5,6,7,8,10
WKqZz48BB0bbX1e2TXNS6cULiQj,Royal,5,6,7,8,10
FXdJasHf5DDhX9vOA8HeCOgzCFa,Royal,5,6,7,8,10
WDBZZeNfOZqqk0AXqjdna6fmN7c,Royal,5,6,7,8,10
6_2Kkz3jACEtQohu_AvEy7rs5sc,Royal,5,6,7,8,10
hOuH8uHSZKoXH4pt5MO8gFkqjLl,Royal,5,6,7,8,10
jUv1lgdFIA78Tsm7hb5FZnB3h63,Royal,5,6,7,8,10
UD7oIstr7DVdZLLPAHZg2bhkfdc,Royal,5,6,7,8,10
tzI2g_hwLNagzlOJfYoBgk0WGLh,Royal,5,6,7,8,10
ujqpXvybDEb1bB4kyphpTtWh8j4,Royal,5,6,7,8,10
pGsXNTeuqnnEdXjvN_zgEfSH2fi,Royal,5,6,7,8,10
w4nPa6KzS46m2imSDMgDJNs1Bn,Royal,5,6,7,8,10
czaq82AHmDMAwUmDbnSl399lYa9,Royal,5,6,7,8,10
zwyPq1X57KHH_Cb0Zic2s9YQJf4,Royal,5,6,7,8,10
0C1kz_88CPL5HxkHrTzX1dKsL7c,Royal,5,6,7,8,10
2PcWT1xRhqE6MfCqfvaKvk95t61,Royal,5,6,7,8,10
9NtmxDr8Iti_wC7xE1dx3EzZSNk,Royal,5,6,7,8,10
tXJAGyD7Tjg8PnMF72KLCvd7tDd,Royal,5,6,7,8,10
ECBu4LJehfnN7e8RXTROspOlac6,Royal,5,6,7,8,10
OIo_QjaFMSnhfMNN0KHuJCpiNk9,Royal,5,6,7,8,10
ZGkv_k7yoaztrmB1KjmUrL8kbF2,Royal,5,6,7,8,10
F7za2PDwiWxs5b4ybFIja6bbMLi,Royal,5,6,7,8,10
ilfqGwQ5lhaAcXIxh8rlORjgxs1,Royal,5,6,7,8,10
mERuAqlPYP4PmV4O1Nfxumexb87,Royal,5,6,7,8,10
Z5FNGEYVdLmlTNmPm6Oh_dn5VU7,Royal,5,6,7,8,10
SJWutlsXCncOR4XfTGxIjB40sIl,Royal,5,6,7,8,10
0xUuRXFxyvmRYgKJLg6ldbzxxJe,Royal,5,6,7,8,10
s2WZF69fWIzBPyrQKCSwh3t2aw,Royal,5,6,7,8,10
tLXiSVNEJ4r82ql3eI8BYhaV2V2,Royal,5,6,7,8,10
6YSGiT6W5Xuz6TC4P4laCXN74v1,Royal,5,6,7,8,10
F_MzgSGyuDKAOHoPfkjv8AZ60Yl,Royal,5,6,7,8,10
FvjWk8kewXCicihbjv8uIwM2qe6,Royal,5,6,7,8,10
EJr3LQcrk0RUKZbg8P9fuuO7NIh,Royal,5,6,7,8,10
Ov9ngtJY2g3xFXF9in94xEULbUh,Royal,5,6,7,8,10
QLEQDD3I_52sxZe0c1tm_RWQpBj,Royal,5,6,7,8,10
eX75mkZWP7UosuIIMJf1EVZQlQc,Royal,5,6,7,8,10
05bKktw0PpJJqwp9d73Zrq2cCV3,Royal,5,6,7,8,10
TCXvOZUYYYtAVCF5t4tnQ58C9bg,Royal,5,6,7,8,10
wmSvzjvl2CCjqwTg3qck7U13w7j,Royal,5,6,7,8,10
XOl_IEDNiOszFkywPBy9A046C2c,Royal,5,6,7,8,10
MdHJt3cQTYnvIWgDlphofWY4uak,Royal,5,6,7,8,10
uZ5ZrRJLu0P5LIjOQzedWO8bsY4,Royal,5,6,7,8,10
hA1qLLbmFkg4bEBVknaB0bJy654,Royal,5,6,7,8,10
Xa3Nu6y7BxvzDW3DaOzZOtL9Dmj,Royal,5,6,7,8,10
8cg2q6CgWDsCJEKqQNUBS4Dv9q8,Royal,5,6,7,8,10
srE2dKhA56J_h9uHRwMRLumtROi,Royal,5,6,7,8,10
3pFtsRaa0moYBtPFf0Hf2SknpZh,Royal,5,6,7,8,10
29rZH2Qsl4I1zbprOhoQfmQmx5i,Royal,5,6,7,8,10
3qWXz_wDg6BkDHyVziYgXBPdMTc,Royal,5,6,7,8,10
k0UA28UfofkVP8BftOijkqlPAz2,Royal,5,6,7,8,10
SFqljEYmiNONM4T9Xyka5onD2C9,Royal,5,6,7,8,10
gE0_hm5zC9rqDl9G6aeJRT_atIj,Royal,5,6,7,8,10
bI14UgXY23u6X2Cvh7FabpmcPHa,Royal,5,6,7,8,10
xA14soaVHs1BI9YtUpBollM5Fqh,Royal,5,6,7,8,10
xzYkz4N6J29Hf8c4nVWrB2ZGqFg,Royal,5,6,7,8,10
58rs37I1kRZG9qQ1jp_mudAuFig,Royal,5,6,7,8,10
T6Y98ecMf3pzHfpypwn8FX_BK6d,Royal,5,6,7,8,10
3IIJBJsmnpk_UKTe3ixTwVydu4a,Royal,5,6,7,8,10
4l5HZxyk3nc1o5_T4mVI6kO2Vrc,Royal,5,6,7,8,10
PzJtjjoSWXtWpmfiIvuO0s0kKHk,Royal,5,6,7,8,10
Yqt7azUCG7ir3ER8cWHR00wbTGa,Royal,5,6,7,8,10
mKiMzuqqmYftMxcuPOtO2GdsoMf,Royal,5,6,7,8,10
wTkz_U3YoovRt8nWXGGNdFVPpl6,Royal,5,6,7,8,10
4O3SuPnmYYdBiRjpb_gkjZrtBc9,Royal,5,6,7,8,10
u53Jpe6ScJzY6o3_iFRueoY6RD4,Royal,5,6,7,8,10
t0jBCRHuKQurPOsf5etSO2ixn53,Royal,5,6,7,8,10
zLdREajnKz0Effqg1cdkvJiOEr6,Royal,5,6,7,8,10
_vWCR82frA0_XWdF2LV6SgvR8Db,Royal,5,6,7,8,10
UrMHxkYDxmT5ni_iZO7H3Q9cMe5,Royal,5,6,7,8,10
TeFBqWdau7xdHR4UieqBrMpptqh,Royal,5,6,7,8,10
asHrAcD8eLIJvKin9ivCid3rVZi,Royal,5,6,7,8,10
Vq48CUtQW8JVQreSXdcFe5HH1qc,Royal,5,6,7,8,10
aHP72laWF4ejA_xo4CdhRvZ0PSf,Royal,5,6,7,8,10
m0Gd9CIkNlISIs8cMa5nILbLZUk,Royal,5,6,7,8,10
Qg9ixrUngOj3B1ossGXb_n_ZWw2,Royal,5,6,7,8,10
xHbi6HW3bdKHUjXAA3IQqu23hMj,Royal,5,6,7,8,10
bRzOt63MSkkNa4T6UbR_EUIFJqb,Royal,5,6,7,8,10
FWPRHV3_G1MbRPCdYuzoCIxrmga,Royal,5,6,7,8,10
KxSjUAIR7XQcr57C6dA0cj5NGab,Royal,5,6,7,8,10
fuNCF7VAwbQdH9fIK6JqLfoz_b6,Royal,5,6,7,8,10
lqJt3btvw3o90O2ci5ssFC8x74g,Royal,5,6,7,8,10
SLR6xIabljOZXlYYWPnio1GKTrb,Royal,5,6,7,8,10
Ybq1_68V_NswJvN9nwTRO02lQXj,Royal,5,6,7,8,10
7iGiyfIBGzpjisjooNTptsaphGi,Royal,5,6,7,8,10
pgqUkudVyBkrd79F6cqapPQjL4l,Royal,5,6,7,8,10
XKCRI9xMGEW_VDk_SVRxgDXk_Ch,Royal,5,6,7,8,10
mhm_ozuvFg6L7B28JBaCJk1BHid,Royal,5,6,7,8,10
HLhd59iFVxUNUwOssAXsDkn2a1d,Royal,5,6,7,8,10
pIWfEYZKpq0SIW1WxD1RSQ57ftc,Royal,5,6,7,8,10
Wb4el2a_lA1ZX6R4BHrqDGYYyO0,Royal,5,6,7,8,10
j7fHLmTAMHP86SO7EjPp5vmYoSb,Royal,5,6,7,8,10
lKo6nUZLgqBeuyzRDMSs9hMeb_m,Royal,5,6,7,8,10
H5Fy0UI7TJFnmJFuXeXT2dI3OHh,Royal,5,6,7,8,10
QgcUX4J5eJuGm49BFx1JpgQuhn9,Royal,5,6,7,8,10
tRJbVlVP74EA5KRvyIJGK9YPgR4,Royal,5,6,7,8,10
rKmMn1vuroA4KO0nWoTLL0z7gqb,Royal,5,6,7,8,10
nt2P8Y7BU5hAnNo__yF6C1nFl5e,Royal,5,6,7,8,10
cg_hDJn3eLbbYIs3xySgyT815T8,Royal,5,6,7,8,10
r9gTVuoCktP6Jic_5JPDCdhcsik,Royal,5,6,7,8,10
TeLYq__XruwH3X4oLxp4h_QiXd,Royal,5,6,7,8,10
8wq0hYZCfjkOM5Gwe_TgLu1Eu06,Royal,5,6,7,8,10
HerGpvsWLrYLEGFarTA7quYe2b0,Royal,5,6,7,8,10
jWozGczu9QsdUnoXzjj9xeZdzUm,Royal,5,6,7,8,10
_FxocfiIvwpeDeAm4MaOh2EE5s8,Royal,5,6,7,8,10
7AVveL11mKx7IMSIWHAHI6tLnei,Royal,5,6,7,8,10
R4gYmBe_T49cewsRM58iebtvQlf,Royal,5,6,7,8,10
ZD1H0neP6FgrYsQ2cJAg1Y9EJ_l,Royal,5,6,7,8,10
LBoWbPIkP6XWOKcaGuaOQwOVqk0,Royal,5,6,7,8,10
FBAO1XsUoB_TTyTdUVHAke_EZRl,Royal,5,6,7,8,10
DEpanl9V_fTkrHPmSJrsDLbjen6,Royal,5,6,7,8,10
VKzNh0slAct53I2Zl2D37dGdQ6j,Royal,5,6,7,8,10
TrdTVZHEzzHP2uG9NCorLZbb7rm,Royal,5,6,7,8,10
vip8BtF2uiHtLEc093tdyUnQNaj,Royal,5,6,7,8,10
PD2aLSPPHMrAuNifBrWxXWE0ZV8,Royal,5,6,7,8,10
aaQuj4odYxIphsrzplqso9PtWo6,Royal,5,6,7,8,10
PjKlBf7koNrUeE05Im9lec683bi,Royal,5,6,7,8,10
NEDy2TX2T8buPs6zSIfinQLnCpj,Royal,5,6,7,8,10
CMlywycb6RNaRnGshfHWZV1fvQ6,Royal,5,6,7,8,10
6bRbZEj4_6WCBEMjV6FBGiJtdPa,Royal,5,6,7,8,10
H1AYMFNp6xx5CGdiCjIDLm5tSwc,Royal,5,6,7,8,10
6nOAX_YyvKWWH0JTBdHkIntg0D4,Royal,5,6,7,8,10
KJZtUJmZjARTKoZTojwV3tGBIKl,Royal,5,6,7,8,10
7Df4R5YfO1BIh5ZjzHUquJ__bT4,Royal,5,6,7,8,10
XQ4WW3UKOGlohxLRDDgIJao06K3,Royal,5,6,7,8,10
_M1vCNW99aqAb0KcwdZzpRkJg9m,Royal,5,6,7,8,10
2PEAgcW5lYXBUvfb7tzZiisQvy0,Royal,5,6,7,8,10
42fUzrY0AgLOToB_68ONqR5J7Ng,Royal,5,6,7,8,10
N0mnM5Au6TaMBFYwr3KdMaaSsSb,Royal,5,6,7,8,10
2PY42Rq_5gSKhz7yanwK7QyMN4i,Royal,5,6,7,8,10
_2isa5YkjUgwZnkXkRNveYAOZSf,Royal,5,6,7,8,10
77NgFVtJHbLDLBk3pAJ50A8zTq7,Royal,5,6,7,8,10
3FQfeidugunDAhmen70mEt8tDt5,Royal,5,6,7,8,10
HtNE2DOCt0lH0UZEIm2hHK5oZGj,Royal,5,6,7,8,10
R9IOeiVCNqgoe7D9KLznGp4eOQc,Royal,5,6,7,8,10
k7LjAUBG1mgYgB8TPgXQsn8lNc,Royal,5,6,7,8,10
FRPsrMVR8NvAFRBMwjFuZt9bwzm,Royal,5,6,7,8,10
fau0aJmbu3rSSq9NEYa8AQUBB0n,Royal,5,6,7,8,10
gSI8W1Yfmttfs7jTeXI_kP5zr2l,Royal,5,6,7,8,10
ekPBmUaHqR5JV9mCPI4oRGUUZpm,Royal,5,6,7,8,10
I7f5xtHuPJd62hmMoFYaF2z0J9f,Royal,5,6,7,8,10
tf4ZkNP4cAT5IhCzBOrFIXWBkHd,Royal,5,6,7,8,10
w2xrQT83upIYoAZP53RdbJSGMV9,Royal,5,6,7,8,10
FCfUBolCe9jUtXt8445DV1l3Dq7,Royal,5,6,7,8,10
4Fwd5_SDsmmMZ9eXy4pZPpBPQcb,Royal,5,6,7,8,10
1xMsG1AzaUPDuUZlQE9lELpS6ze,Royal,5,6,7,8,10
mMV20rXSSLzMSz1K6dxY2wDhld1,Royal,5,6,7,8,10
TOMZrA0I3mK8JGLBaVszO9Xetm4,Royal,5,6,7,8,10
i0ybdxAO2lGALgPk6hueubvGaZb,Royal,5,6,7,8,10
uedfaNWMIuTxiA4RRqU8Dc3VgCg,Royal,5,6,7,8,10
dDgdSrPWzGLn4autMaHBb4Vr_l1,Royal,5,6,7,8,10
y0ACtzKP76LxexOFwmvuQOgHPxi,Royal,5,6,7,8,10
rIWC7EXib7oJhlIopmj_DWOCxYm,Royal,5,6,7,8,10
4G0l_3kniPnKIUDqH42iXxKu8Dd,Royal,5,6,7,8,10
UiIptsnkQVsephnaPqc3i2TiB8l,Royal,5,6,7,8,10
Zh06xLvb7ctwh_oO1hjDzFvRQs,Royal,5,6,7,8,10
VzLBjnMV3goeajtGjnOyXJ3hBD2,Royal,5,6,7,8,10
1xDpZAVidKJCUGcdOUF_r4nIRuj,Royal,5,6,7,8,10
k5wewKm0DZXAVDpNUBZ7Wi3AnL4,Royal,5,6,7,8,10
GKF9FavMxldWSr0Wk5k9jDZDmRf,Royal,5,6,7,8,10
4TWEATK4vs5DAXs9sewLKawV91k,Royal,5,6,7,8,10
1O6REIYp8HYgx8iCcEzkU5C9f2b,Royal,5,6,7,8,10
XuC15slk8LgAqJG0tYXz2jo3z1d,Royal,5,6,7,8,10
HyF9fb6GIR8CTA5SGJuhJdlhut7,Royal,5,6,7,8,10
GPajAcMOq1qOPUa_gVsNwOSeB44,Royal,5,6,7,8,10
TApKhL0WNNoU7izTr1PXUpgQTRe,Royal,5,6,7,8,10
nNjeKLr5fcHZhyQFU22N9j1OLUm,Royal,5,6,7,8,10
yvOR8pRt92OHspQ27TTwpkq0fR8,Royal,5,6,7,8,10
ZUwvdbXJlZvv8MvCqo57QaAbhJi,Royal,5,6,7,8,10
NZW1Z8qAPYC_3oSCHJcgLFYvZF6,Royal,5,6,7,8,10
Rm6pujafUEWyE1JRVxvM8Rwzr40,Royal,5,6,7,8,10
0cU5uo5QnYJ_hHG4qau_qLZN7c0,Royal,5,6,7,8,10
jJcHjESN3KMaKZCgcv7TvIEkSpm,Royal,5,6,7,8,10
7WY8ZHHieuHksjXL6D6HGPwoLec,Royal,5,6,7,8,10
Vx2GD5GhQ36rvj1WKV6EALzgHIf,Royal,5,6,7,8,10
gkLBN2mBYuHMTmBNmYbElwfKope,Royal,5,6,7,8,10
fke7atfHbiC8CPOEstodborhxkl,Royal,5,6,7,8,10
J_PLGiXiw1mSsJnlVgrUS1LQ9Lg,Royal,5,6,7,8,10
HE_DsyEvoUjkqg_q2xgvgs1c_za,Royal,5,6,7,8,10
MDt617JIjb5c3wixHcE_4j1tWFm,Royal,5,6,7,8,10
HS97G3wdM_J2evHCD7DvO5n8zlc,Royal,5,6,7,8,10
K5UEzbvdDkezrLnXZdrWiUUgCDm,Royal,5,6,7,8,10
_VczOtUx0kNpZGrVxrRy3KPxHE8,Royal,5,6,7,8,10
kPs_gfzIdN0boiJEerkYs6j3DI9,Royal,5,6,7,8,10
nTvjcaWmuHsJ5MdQnwfIbZdROum,Royal,5,6,7,8,10
mdprAxvD8gp2j6xTiduMjDUMk0l,Royal,5,6,7,8,10
X_ATbOU8QZeQg7j1W1Jm4x1wnj0,Royal,5,6,7,8,10
buZmcLFDb6jAUMld6n1A8DIQ6Gf,Royal,5,6,7,8,10
KfDkpCHZ7bAQJCIf5KCrF3j7Mak,Royal,5,6,7,8,10
xAOSHyS5mIX5tiT0fBYAecEJXVg,Royal,5,6,7,8,10
OQyzq2vuDlLmLwpWyTsiTeE6iza,Royal,5,6,7,8,10
504YpzqxEDA6xOCC5e5G2q3QFa2,Royal,5,6,7,8,10
shF8cRJmiUuOJkKDmFtXQR1DQvi,Royal,5,6,7,8,10
UvHM782PHA7at0UoBI2M5Slulqi,Royal,5,6,7,8,10
YLdWsND2t043qZ23psZOGIc16Kc,Royal,5,6,7,8,10
gfjzbBB8RXWsYlo4YzS84vWc6H5,Royal,5,6,7,8,10
LO14T8pX5ADEHnOnzJ8XVcKIbLf,Royal,5,6,7,8,10
IZ4HPRy71sNZVgLWilnX7QnqAJ0,Royal,5,6,7,8,10
qmFf7xYSuamsQQcPCGNhhLbzt5h,Royal,5,6,7,8,10
Y0CTjVF5HpJzHmumOE7leNORE20,Royal,5,6,7,8,10
niIjeN1gk8kx04qaQxeHJeOSeT9,Royal,5,6,7,8,10
x3yEC7QjBZdvROEt0tmDe0KzMqf,Royal,5,6,7,8,10
nNbBX3kJHkNxq9kA1KpubI4KqWe,Royal,5,6,7,8,10
xDdIdN2xNq0Q0mZliq2pO2JQi8f,Royal,5,6,7,8,10
NME20m_ZCzmAX16QHRsCzT6V4b3,Royal,5,6,7,8,10
VbFcclMR5X6kVgVyAU6FodNAMNd,Royal,5,6,7,8,10
w5fwILlmOdd6QlTuWiciyPduR9,Royal,5,6,7,8,10
dUxaO4dt2NNL8Cc0Do0pFRexSOf,Royal,5,6,7,8,10
feMqjcV4xXi8ON3c_vk3mKjB4A,Royal,5,6,7,8,10
NKZ17N1VLwwJsLoIcULmIgJEeWj,Royal,5,6,7,8,10
TIZt5EZdxoGdU_bbXKDqje5O9Rl,Royal,5,6,7,8,10
uOto_20SEC1wF0aphEukb5Qsr_0,Royal,5,6,7,8,10
X3j41sUT7z32XqO0W0bEYUS_wUk,Royal,5,6,7,8,10
K_Wbmq4VK6S32ysXIELcLuszEl9,Royal,5,6,7,8,10
61nYpnzjGOM_u824YTHJxnFJfYa,Royal,5,6,7,8,10
vMvSXsaef6vjc4PORL4VKqo14Kd,Royal,5,6,7,8,10
lzPKbXBvxdeNVu3YtTiRjqpeXvb,Royal,5,6,7,8,10
lNbtLcuVGzHQJa8EAIE0GNC67L5,Royal,5,6,7,8,10
1EC7It6_3adEnatvSLXnXK2i40l,Royal,5,6,7,8,10
CTWS_zymIW0Qjis5WnB0S_of0N8,Royal,5,6,7,8,10
elXg2UOUKpNd33mCmhUsP4lzQJg,Royal,5,6,7,8,10
gupCemjHJN6C5TSTHtmEXlB73Mj,Royal,5,6,7,8,10
OycAc6QSukoXfi6LnpvjGd1sn9i,Royal,5,6,7,8,10
ZVNPHlhC4BCTFa337Ihkz7W2257,Royal,5,6,7,8,10
IZSilzvCZAMooLIMmVbZv0kULxm,Royal,5,6,7,8,10
